ID,Age,Rotten Tomatoes,Netflix,Disney+
318,3,75,1,0
319,5,74,1,0
320,3,74,1,0
321,5,74,1,0
322,5,74,1,0
323,5,74,1,0
324,3,74,1,0
325,0,74,1,0
326,5,74,1,0
327,2,74,1,0
328,5,74,1,0
329,4,74,1,0
330,3,74,1,0
331,3,74,1,0
332,5,74,1,0
333,3,74,1,0
334,2,74,1,0
335,5,74,1,0
336,0,74,1,0
337,5,74,1,0
338,5,74,1,0
339,3,74,1,0
340,5,74,1,0
341,5,74,1,0
342,5,74,1,0
343,5,74,1,0
344,5,74,1,0
345,5,74,1,0
346,5,74,1,0
347,5,74,1,0
348,5,74,1,0
349,5,74,1,0
350,5,74,1,0
351,5,74,1,0
352,5,74,1,0
353,5,74,1,0
354,2,74,1,0
355,3,74,1,0
356,4,73,1,0
357,5,73,1,0
358,5,73,1,0
359,1,73,1,0
360,5,73,1,0
361,5,73,1,0
362,3,73,1,0
363,5,73,1,0
364,5,73,1,0
365,2,73,1,0
366,5,73,1,0
367,3,73,1,0
368,0,73,1,0
369,5,73,1,0
370,4,73,1,0
371,1,73,1,0
372,2,73,1,0
373,5,73,1,0
374,5,73,1,0
375,2,73,1,0
376,0,73,1,0
377,2,73,1,0
378,5,73,1,0
379,0,73,1,0
380,2,73,1,0
381,3,73,1,0
382,3,73,1,0
383,5,73,1,0
384,2,73,1,0
385,0,73,1,0
386,5,73,1,0
387,2,73,1,0
388,5,73,1,0
389,5,73,1,0
390,5,73,1,0
391,3,73,1,0
392,0,73,1,0
393,5,73,1,0
394,5,73,1,0
395,5,73,1,0
396,5,73,1,0
397,0,73,1,0
398,0,73,1,0
399,0,73,1,0
400,3,73,1,0
401,5,73,1,0
402,3,73,1,0
403,5,72,1,0
404,0,72,1,0
405,5,72,1,0
406,5,72,1,0
407,2,72,1,0
408,5,72,1,0
409,5,72,1,0
410,5,72,1,0
411,5,72,1,0
412,0,72,1,0
413,3,72,1,0
414,2,72,1,0
415,3,72,1,0
416,2,72,1,0
417,5,72,1,0
418,5,72,1,0
419,5,72,1,0
420,3,72,1,0
421,3,72,1,0
422,4,72,1,0
423,0,72,1,0
424,0,72,1,0
425,3,72,1,0
426,5,72,1,0
427,5,72,1,0
428,1,72,1,0
429,0,72,1,0
430,5,72,1,0
431,0,72,1,0
432,4,72,1,0
433,3,72,1,0
434,2,72,1,0
435,5,72,1,0
436,2,72,1,0
437,2,72,1,0
438,3,72,1,0
439,5,72,1,0
440,5,72,1,0
441,5,72,1,0
442,3,72,1,0
443,3,72,1,0
444,2,72,1,0
445,5,72,1,0
446,5,72,1,0
447,5,72,1,0
448,2,72,1,0
449,5,72,1,0
450,5,72,1,0
451,5,72,1,0
452,3,72,1,0
453,3,72,1,0
454,4,72,1,0
455,5,71,1,0
456,5,71,1,0
457,2,71,1,0
458,3,71,1,0
459,2,71,1,0
460,0,71,1,0
461,3,71,1,0
462,2,71,1,0
463,5,71,1,0
464,3,71,1,0
465,5,71,1,0
466,3,71,1,0
467,5,71,1,0
468,5,71,1,0
469,0,71,1,0
470,5,71,1,0
471,5,71,1,0
472,3,71,1,0
473,3,71,1,0
474,5,71,1,0
475,3,71,1,0
476,5,71,1,0
477,5,71,1,0
478,2,71,1,0
479,5,71,1,0
480,3,71,1,0
481,3,71,1,0
482,5,71,1,0
483,5,71,1,0
484,0,71,1,0
485,3,71,1,0
486,2,71,1,0
487,4,71,1,0
488,5,71,1,0
489,0,71,1,0
490,5,71,1,0
491,2,71,1,0
492,3,71,1,0
493,3,71,1,0
494,3,71,1,0
495,5,71,1,0
496,0,71,1,0
497,5,71,1,0
498,3,70,1,0
499,0,70,1,0
500,0,70,1,0
501,5,70,1,0
502,5,70,1,0
503,3,70,1,0
504,5,70,1,0
505,5,70,1,0
506,2,70,1,0
507,3,70,1,0
508,5,70,1,0
509,2,70,1,0
510,2,70,1,0
511,2,70,1,0
512,0,70,1,0
513,5,70,1,0
514,5,70,1,0
515,5,70,1,0
516,1,70,1,0
517,0,70,1,0
518,0,70,1,0
519,3,70,1,0
520,5,70,1,0
521,5,70,1,0
522,2,70,1,0
523,0,70,1,0
524,5,70,1,0
525,3,70,1,0
526,3,70,1,0
527,5,70,1,0
528,3,70,1,0
529,3,70,1,0
530,5,70,1,0
531,5,70,1,0
532,5,70,1,0
533,0,70,1,0
534,1,70,1,0
535,2,70,1,0
536,2,70,1,0
537,3,70,1,0
538,2,70,1,0
539,5,70,1,0
540,5,70,1,0
541,3,70,1,0
542,3,70,1,0
543,0,70,1,0
544,3,70,1,0
545,0,70,1,0
546,2,70,1,0
547,0,70,1,0
548,3,70,1,0
549,3,70,1,0
550,3,70,1,0
551,3,70,1,0
552,5,70,1,0
553,3,70,1,0
554,2,70,1,0
555,4,69,1,0
556,4,69,1,0
557,3,69,1,0
558,4,69,1,0
559,4,69,1,0
560,3,69,1,0
561,5,69,1,0
562,0,69,1,0
563,5,69,1,0
564,0,69,1,0
565,5,69,1,0
566,4,69,1,0
567,5,69,1,0
568,5,69,1,0
569,0,69,1,0
570,5,69,1,0
571,2,69,1,0
572,3,69,1,0
573,0,69,1,0
574,0,69,1,0
575,5,69,1,0
576,5,69,1,0
577,3,69,1,0
578,5,69,1,0
579,3,69,1,0
580,5,69,1,0
581,2,69,1,0
582,3,69,1,0
583,3,69,1,0
584,3,69,1,0
585,5,69,1,0
586,5,69,1,0
587,3,69,1,0
588,0,69,1,0
589,0,69,1,0
590,3,69,1,0
591,3,69,1,0
592,5,69,1,0
593,0,69,1,0
594,5,69,1,0
595,0,69,1,0
596,2,69,1,0
597,4,69,1,0
598,5,69,1,0
599,5,69,1,0
600,5,69,1,0
601,3,69,1,0
602,5,69,1,0
603,0,68,1,0
604,3,68,1,0
605,5,68,1,0
606,0,68,1,0
607,3,68,1,0
608,0,68,1,0
609,2,68,1,0
610,5,68,1,0
611,3,68,1,0
612,5,68,1,0
613,3,68,1,0
614,3,68,1,0
615,5,68,1,0
616,5,68,1,0
617,5,68,1,0
618,3,68,1,0
619,3,68,1,0
620,5,68,1,0
621,0,68,1,0
622,3,68,1,0
623,5,68,1,0
624,3,68,1,0
625,3,68,1,0
626,0,68,1,0
627,5,68,1,0
628,3,68,1,0
629,1,68,1,0
630,5,68,1,0
631,3,68,1,0
632,0,68,1,0
633,2,68,1,0
634,5,68,1,0
635,5,68,1,0
636,4,68,1,0
637,5,68,1,0
638,4,68,1,0
639,0,68,1,0
640,5,68,1,0
641,5,68,1,0
